airlines;date_post;text;sentiment
american-airlines;2018-09-06;" |  New York to Sydney via Charlotte / Los Angeles. Unremarkable or even bad service is frankly the norm on pretty much every airline in the US, with certain well-known exceptions. To expect anything else is setting yourself up for disappointment, as reflected by the majority of reviews for this airline. Yes, I too have experienced the dreaded day-long weather delay, but I still fly American because they handled the situation as well as could be expected and they don't control the weather. I flew from New York to Sydney with layovers in Charlotte and Los Angeles. My domestic short-haul flights were unremarkable. I had a tight connection in Charlotte (40 minutes) which I made with no problem thanks to helpful ground staff. Both flights were on older 737s without seatback or BYOD IFE. On the flight from JFK to CLT this was fine, but the 5 hour flight from CLT to LAX would have been unpleasant had I not had my own stuff on hand. Legroom on both flights was more than adequate. I am 6 feet tall, somewhat overweight, and had no issues with personal space. American's hard product is easily my personal favorite of the big three, even on older aircraft. Beverage service was brusque and impersonal, as is the norm, but flight attendants were very good in a one-on-one setting. There were frequent advertisements for AA-branded credit cards on both flights, taking the form of promotional videos and several in-flight announcements from flight attendants. Some announcements alluded to cardholder benefits not actually provided by the card, so be wary of that should you find the offer enticing, but I believe this was more a misunderstanding of the product by the FAs than a willful attempt to deceive. All in all, American's domestic service is perfectly reasonable, provided you have realistic expectations of what an airline is and isn't capable of doing. American's long haul international service greatly exceeded my admittedly minimal expectations. My flight from LAX to Sydney, clocking in at a whopping 15 hours, was a brand new 787-900 with a 3-3-3 layout in economy, a definite improvement over the 3-4-3 layout found on most American long haul metal. The seat provided ample legroom and storage space. Carry-on bins were large and easily accessible. IFE was provided by a large, high definition seatback screen. The selection was enormous, but leaned much more heavily to films over TV. The in-flight map is better than most US carriers. The interface for the IFE is somewhat frustrating at first. The default layout requires frequent swiping and dragging, which the touch screen is not very good at. This can be fixed by switching to a grid based display system, which I did not discover was an option until we were close to landing. There was also a catalogue of music and books available though the system, but the selection was not very good. Dinner and breakfast were served to all passengers on this flight. Meals were surprisingly good, being flavorful and well-portioned in both instances. I enjoyed about 7 hours of rest on this flight, which is much better than the 2 or 3 I generally manage to hobble together flying to Europe. The 787 is a wonderful aircraft, and is easily my first choice when flying overseas. All in all, my round trip flight from New York to Sydney cost $1400 per person, an excellent value. I would fly American again, both domestically and internationally.";POSITIVE
american-airlines;2018-09-05;" |  Phoenix to Atlanta. Worst service ever! I flew with my 2 year old daughter and we both were given an aisle seat. I asked the rep if any other seats were available so I could sit with my child. She rolled her eyes. I'm guessing because I interrupted the personal conversation she was having with the other rep, I know it was personal because they each made no attempt at concealing this detail. She then asked for my boarding pass and continued her conversation with the other employee. She printed my new boarding passes and placed them on the desk in front of me. All without stopping her conversation or looking me in the eye. After the flight, I get home and my laptop will not power on. I suspected my bag was miss handled because I had broken items in the bag. I was left a ticket stating that TSA searched my checked bags. Now I have to pay $200 to get my laptop fixed. American airlines has absolutely no respect for their customers!";NEGATIVE
american-airlines;2018-09-05;" |  Gulfport to Kansas City. Very disappointed with American Airlines. Will not fly again. We are trying to leave the Gulf to get back home due to hurricane but were told we we wouldn't be allowed to move flight up a day since flights were not being canceled unless we paid 200 dollars each. (There were 2 of us.) So we did because we didn't want to risk it. Then our flight that we changed to gets canceled and we were told we could get our original flight back but not the 200 dollars each because we ""voluntarily changed it"". Yes but you ""voluntarily canceled"" our flight. Thanks for keep 400 dollars of a teacher's paycheck.";NEGATIVE
american-airlines;2018-09-05;" |  Chicago to Knoxville. Returning home from a trip overseas is never easy, fortunately there’s American Airlines to help. Not only will they cancel your flight, they won’t give you any sort of compensation for a hotel reservation. Additionally, American Airlines won’t make any efforts to make sure you’re on the next available flight to your home town. If you like apathetic, lazy customer experience, then you’ll love American Airlines. As an American, I feel embarrassed that these clowns supposedly represent the US. Within the past few weeks I’ve flown Delta, Norwegian, as well as EasyJet. Several of these have been long, international flights over eight hours long. My American Airlines flight was domestic, and barely two hours long. Leave it to American Airlines to be the painful conclusion to your otherwise pleasant travels.  I’m going to give them one star though, as my plane didn’t crash.  American Airlines has managed to disappoint in almost every other aspect. Long story short, these fools are not reliable in anyway other than being reliably unreliable. Make the smart move and take your business elsewhere.";NEGATIVE
american-airlines;2018-09-04;" | We paid for premium flight times so we could arrive at a reasonable time on our outgoing flight to San Jose, Costa Rica and return flight via Miami. However, what we received from AA instead were red-eye flights, cancelled flights without explanation, and unanticipated expenditures associated with AA’s treatment of the 3 of us. And then AA had the audacity to offer us $100 in a voucher for a future flight on AA. By our calculations, AA made a lot more than $100 off each of us by cancelling flights that weren’t full, traveling during non-peak travel times-with AA pocketing the profits-forcing us to pay for hotels and transportation fees out-of-pocket, holding us hostage in airports with ever changing departure times, where we had no other option, but to eat airport food at premium prices, without the courtesy of respecting the sales contract by flying us out at your scheduled departure and arrival times.";NEGATIVE
american-airlines;2018-09-04;" |  Washington to Charlotte. Unbelievable, by far the worst airline I have ever travelled with. I have been flying on low cost airlines that are much better than American Airlines. My flight was supposed to take off from Baltimore at 2pm, but was cancelled after 3 hours of waiting, because they didn't manage to fix an A/C problem in the cockpit! They put me on a flight departing 6 hours later from Washington. They wouldn't provide a refund, they wouldn't provide a lounge pass or a voucher to get something to eat, the sit they gave me was worse than the previous one and (cherry on the cake) they forced me to check in my carry-on, so I had to board holding all the valuables, batteries, computer, etc. in my hands. As it wasn't bad enough already, all the above was communicated with the rudest possible manners one could use. Thanks - I am paying for this, in case you didn't know. As always, to even see a movie on board you need to use your own device, internet is for purchase, the only food they provide is a mini package of pretzels. Dear American Airlines, I take more than 50 flights a year and I swear you'll never see me again.";NEGATIVE
american-airlines;2018-09-04;" |  Oklahoma City to Melbourne, Florida. The flight started with a delay on the tarmac, “maintenance and paperwork” 20-30 min. On our approach to Charlotte for my layover I realized we were circling the area? The pilot eventually lets us know we’re in a holding pattern because of weather issues and that if it persist we would have to fly to another airport to refuel. We did, we had to refuel in Tri City Tennessee. By this time I’ve missed my connecting flight to Melbourne! Once we landed in Charlotte I exited the plane to find the entire airport in complete chaos! I check in at the ticket desk to find out what flight I now need to catch to finally get to my destination, Melbourne Fl. At this point the ticket agent let me know, there were no more flights to Melbourne! “Go to customer service” I did, once there the customer service agent was rude, incompetent to the point another agent had to help navigate the computer system! End result, I had a choice, stay the night in Charlotte at a hotel on my dime, “because it isn’t American Airlines fault, there was weather issues” so no they will not put you up in a hotel and catch the flight in the morning to Melbourne OR catch a flight to Orlando International. I did, I’m now out an additional $150 for a hotel and I’ve had to have my wife come and pick me up in Orlando and drive me back to Melbourne to pick up my vehicle. I will never fly American Airlines again. I started my journey Sunday 9-2-18 1:40 pm it’s now 9-3 10:18 am and I’m still at the Orlando International Airport waiting on my ride. It will be beyond a 24hr trip to get from Oklahoma to Florida via flying American Airlines!";NEGATIVE
american-airlines;2018-09-03;" |  San Francisco to Los Angeles. Today affirmined to me why it’s always worth it to spend just that little bit extra to fly Delta. After narrowly missing my flight I was reassigned to the next flight 7 hours later, fine, my fault. I slept at the airport and tried to make the most of it. Thankfully there was room on the morning flight since I was then a standby ticket but what I didn’t realize was my ticket had also been downgraded. Apparently there is a situation when you don’t get a carry on. I get to the front of the line, they look at my ticket, and say my new ticket is going to cost me an extra $50 for the carry on luggage. Wow. It doesn’t seem huge but delivered in the rudest of possible ways after 7 hours on an airport floor does not work for me. Delta is worth the extra $5-$20 in ticket price for sure.";NEGATIVE
american-airlines;2018-09-02;" |  London to Miami. The ground staff was professional but not very friendly. The flight attendants were excellent one of the best I have experienced in years. Very considerate and they made the trip very comfortable. The seats were not the best of the business class category they were ok. The food quality was okay, not wow.";POSITIVE
american-airlines;2018-09-02;" | Memphis to Savannah via Charlotte. I understand Charlotte was chaos tonight. I was meant to be home by 9pm and am still at the airport at 3am with no bag. It’s frustrating. But the staff is doing everything they can. No amount of inconvenience gives you the right to raise your voice and curse at someone who has no control over the situation. Especially someone who is as kind as this woman was and going above and beyond to try to help in what ways she can. I've watched people scream, curse, and try to bully this woman and she has remained civil and polite through it all. Impressed with the staff. Disappointed with the customers.";POSITIVE
american-airlines;2018-09-01;" |  St. Louis to Palm Springs. My husband is in the military so my mother-in-law and I planned a trip for months to go see him for a couple of days, and spent thousands to be able to do it. We left the house at 2am to make it to our flight on time, which ended up being delayed 5 different times due to ""mechanical issues"". Instead of just pulling in a new plane to accommodate the passengers (like Southwest does), they continued to ruin people's plans and appointments. Do not fly American Airlines!";NEGATIVE
american-airlines;2018-08-31;" |  Have heard the same variation of we can't, don’t, or won’t help you get a seat that American Airlines oversold for the last 12 hrs. Still waiting thanks the the supposed manager of special services at the CLT airport - I still don’t have a seat I paid for 6 months ago. I give negative stars if I could. In stead of helping they called the police so I would leave the counter. Way to win over customers!";NEGATIVE
american-airlines;2018-08-31;" |  Detroit to New Orleans. When we boarded at 6am they gave us a boarding pass with a gate number for our connecting flight, we had 20 minutes in North Carolina to get to our connecting flight to New Orleans, we ran and made it 10 minutes early to gate, lobby was full of people waiting, we thought plane was late but after waiting half hour asked someone and was told gate was changed! There wasn’t anyone there to let people know or a notice put up, nothing. We were then told that the new gate flight had already left, they changed it during the 2 hours we were in the air in our first flight. We complained and they insisted it was our own fault because they said they never print gate numbers on their tickets, when I showed them my ticket with a gate number on it that they had given me 3 hours previous they said it was still our fault for not looking at the monitors. They also said we should have known when no one was waiting, but lobby was full of people waiting. I went to speak to manager and she rebooked my party of 5 on the next flight 8 hours later so we waited and we had a non refundable tour booked in New Orleans that we were now missing. The manager said she could upgrade 4 to 1st class and would write notes to put me on stand by for 1st available stand by so I could be with my family. When we were boarding I asked about my stand by and he said there were no notes and he had no authorization so he called and she had left for day, so manager lied to us! Also we had paid extra to have seats together which now were not together and were told we would get refunded that extra, on our statement they refunded and then recharged again so in truth there was no refund! They took no responsibility and had the worst customer service. They were very rude to us after they inconvenienced us. Thank God our cruise was leaving next day because we would have missed our cruise too. Also it costed $210 for 3 pieces of luggage which is ridiculous.";NEGATIVE
american-airlines;2018-08-30; |  Dallas Ft Worth to Mobile. Worst experience ever. Delayed several times on top of 20 gate changes. The airline resulted in cancelling my flight. I'm sure my baggage will get lost. I will never fly American Airlines if I don't have to.;NEGATIVE
american-airlines;2018-08-30;" |  New York JFK to Dublin. This was the worst international flight I have ever experienced. The aircraft was not set up for international as there was no entertainment system. The flight attendants were  rude and the food was absolutely awful. At the meal service we were offered chicken or pasta, no explanation, no description. The pasta had a terrible white sauce and mushrooms (who knew). The chicken was adequate. No other services during the flight were offered. I will never fly American internationally again.";NEGATIVE
american-airlines;2018-08-29;" |  I had a trouble experience with American Airlines, not for the first time. I had a flight from SFO (San Francisco) to CMH (Columbus), with a connection at DFW (Dallas). The layover between two flights was about 1 and half of hour. The first flight had about 1 and half of hour delay, and technically I couldn't make it to the next flight. However, I decided to ask AA staff to make sure about it. I asked them twice, and both times they told me ""you will definitely make it"", and ""we already made some arrangements in this regard"". When I got to DFW airport, my connecting flight was already left, and the next flight was in 12 hours (that is, the next morning). After realizing this, I decided to talk to AA Customer Service at DFW airport, and ask them for a place to spend the night. However, they told me your flight is not eligible for such an offer. So, they made me to stay at airport for 12 hours, without any accommodation. They technically treated me like a baggage. The day after this experience, I decided to contact AA to fill a complain and ask them for refund or something. However, their answer was: ""we are sorry and will try to make it better the next time"". Obviously, they really don't care, and they just want to make as much money as they can with the least quality of service or customer support!";NEGATIVE
american-airlines;2018-08-29;" | Utterly disgusting experience. They are cheap and full of inconsiderate staff. They are not fit to be in the service industry as they lack compassion towards their customers. The supervisor at the airport did not allow me to get past the security line as my bag was 1 inch over the bag size allowed. He said ""I have to stand here all day if I have to deal with customers like you"". I had a basic economy ticket that allowed one bag under the seat and my bag fit perfectly under the seat as I have traveled on different other airlines with this bag placed under the seat. They made me pay for the bag and did not allow me to board. When called customer service for the refund of bag fee which I did not even check in, she was highly disrespectful to my request. American Airlines needs to train their employees about basic things like being polite, considerate and accommodating to customer needs and not forget that each customer has paid for the service. They displayed sheer cheapness at the airport!";NEGATIVE
american-airlines;2018-08-29;" |  Frankfurt to Washington Reagan via Philadelphia. Check-In and Security were smooth and we boarded, by bus, in groups to avoid long lines. Seats were Ok, pretty standard and IFE was also standard. Nothing special but Ok. The Seat configuration was 2-4-2 and I sat on 27A. 20 minutes into the flight they had to restart the IFE because it was overheating. After 30 minutes of waiting, it could be used again. Another technical issue I noticed was that the USB ports didn´t work, which was pretty annoying since I had a layover. However the IFE was pretty good. Especially there were so many good movies available that was incredible. Of course you had a moving map, TV Series etc. About 2h into the flight the crew served some food. As i sat on the back of the plane there was only 1 food option left, which was a Shepherd pie, it was  delicious. It came  with some salad, a bread bun and a cherry cake. The crew distributed drinks. After main course the crew dimmed the lights and we had to close our window shades. Shortly before landing the crew served either a Vanilla - or a spinach wrap with drinks. My layover in PHL was tiring but ok. At the gate there was no agent for a long time even at boarding time. So we had about 20-30 minutes delay, which was ok but I didnt´t knew the reason. As the flight from PHL-DCA is only 30 minutes long there was no service. I was  surprised about AA since I wasn't expecting that much, but I had a great flight with only a few things to complain about.";POSITIVE
american-airlines;2018-08-27;" | Flew Boston to Washington DC. Every aspect of the flight was late. It seems every time I fly American, it’s late and there is no sense of urgency. Weather was fine, but the flight attendants’ connecting flight delayed us 45 minutes. Then the baggage crew couldn’t figure out whic carousel to use and delayed us another 30 minutes. It’s an hour flight. How tough can it be?";NEGATIVE
american-airlines;2018-08-27;" |  Philadelphia to Boston. American Airlines has the utmost unprofessional, unfair customer service department and it’s by far the worse I’ve ever dealt with. Their policies are outrageous as well. American Airlines canceled my flight home from Boston without warning and there was no care or concern for the predicament I was placed in. Customer service kept passing me around only to tell me the same repeated message that there was nothing they could do to assist me. This resulted in me having to pay twice for the same flight I was originally on. Absolutely awful - I am disgusted and deeply unsatisfied.";NEGATIVE
american-airlines;2018-08-26;" |  Philadelphia to Miami. Very poor experience during the check-in and boarding process. Counter staff appeared disorganized which slowed down the process. At the boarding gate, passengers we're asked at the last minute to check in their carry-on bags since the overhead bins were reportedly full, but upon boarding there was plenty of space in the overhead bins. I was left saddled with a lot of extra weight during my layover due to the items that I had to remove from my carry-on because they were too fragile and valuable to leave in a checked bag. Very inconvenient. When I bought my ticket it said one carry-on bag was permitted per passenger. Why did I not get what I paid for when there was in fact lots of room in the overhead bins? American Airlines continues to take advantage of paying customers raising the cost of travel while decreasing the quality of the flight experience. Not the first time this has happened.";NEGATIVE
american-airlines;2018-08-26;" |  Knoxville to Ontario via Dallas Fort Worth. American Airlines customer service is terrible. I received notice my flight was going to be delayed 3.5 hrs causing my connecting flight booking to be changed. The problem is I paid for round trip first class tickets 3 months ago. However Due to this delay my flight from Dallas Fort Worth to Ontario was cancelled and I was put on a different flight. Come to find out, my new flight is not in first class even though I paid for first class. So, I contacted the airline thinking it was a mistake. The first time I called I spoke with a lady who did not provide her name. She bluntly told me ""Due to the delay in Knoxville your flight was cancelled and you wont be in first class"". I told her that was unacceptable and I was mad, at that point she hung up on me. I called back, was hung up on again! I called back extremely upset by this point and got a gentlemen who  told the same thing the first lady told me and that the only way the airline would consider giving me a refund was to file a claim with the airline.  Why should I be punished after paying for services not rendered. I am 6 foot 5 inches, I always fly first class. I have flown many other Airlines and I prefer Delta, I had to fly American because this was business. But I can tell you I am never flying american again.";NEGATIVE
american-airlines;2018-08-25;" |  Memphis to Phoenix. This airline does not know how customer service should be. I have 500k miles with them and at gold level. They still treat their business clients like dirt and the agents are rude in talking with customer. I will sell off my miles and start other airlines with thoughts ""what have done for today"" otherwise I don't use you for traveling. Beware they keep changing the program so you are never at the top level or even treated like a customer should be. I think the public need to reverse the tables on companies like this and stop doing business with them";NEGATIVE
american-airlines;2018-08-25;" |  San Diego to LaGuardia via Dallas. This airline always has problems. They overbook and then want people to give up seats and baggage because there is no room in the plane. When you are traveling from point A to point B and then C it’s not okay. They are rude and obnoxious about it and like I said before they are messy. Having to check a bag isn’t the most annoying part, what is annoying is the fact that they make you run around looking for your bag because they can’t figure out where to put them. On top of that annoyance after a long trip that was made longer by stops is the fact that bathrooms where made for 5 years olds. Even a thin person can’t stand over the toilet properly. Thanks American Airlines for treating people who don’t want your credit card and other add on’s like a herd of cattle.";NEGATIVE
american-airlines;2018-08-23;" |  Cuzamel to Dallas. Don’t waste your cash paying for first class. On our way to Cuzamel we weren’t even offered a blanket or food and we checked in with regular flyers, which I totally don’t mind, but why did I pay extra cash if I wouldn’t be priority. Secondly on our flight back our seats were 6a and 6b and by the time they got around to us they had no more food. Totally not acceptable. Thirdly we were guaranteed a stay in premium lounge and upon landing we were told that Cuzamel is unfortunately the only country that was excluded. That took me over the edge. Totally disgusted with the service I received and I will ensure I never fly American Airlines ever again. This service sucks and I hope this company gets shut down. And last but not least the inflight movies did not work.";NEGATIVE
american-airlines;2018-08-23;" |  In flying from Sacramento to Kansas City through Phoenix, (Date: 8/12/18) our flight was delayed by an hour and a half which forced us to miss our connecting flight in Phoenix. We immediately went to speak to an American Airlines representative, who told us that they were likely not going to be able to get us into Kansas City that evening. What they could do is get us into Phoenix, to which they could put us up in a hotel for the night, and we could fly out the next day (the 13th). Seeing this was only realistic option we had we agreed to stay in Phoenix for the night. As we waited on the flight to arrive from its delay, once we got on the plane, the flight was then again delayed, this time due to weather in Phoenix. After about 20 minutes the flight was then cancelled. We got in line to talk with another American Airlines representative to see what we would need to do for a hotel reservation to stay in Sacramento for the night, as we clearly were not getting into Phoenix. We were then told that they were not responsible for hotel accommodations due to inclement weather. Had we known that the flight to Phoenix was going to have weather trouble we would have taken the flight into Charlotte, or we could have looked at another Airline flight. I asked if I could speak to a manager and the representative told me I would need to go online to file a complaint.. The Customer Service Representative wouldn't even sit us together on our flights for the next day. We were assigned separated seats and when we asked if we could sit together, we were told that we would have to pay a premium for upgraded seats (There were multiple open seats at that time, many of which were not first class). All and all we spent about 7 hours in the airport that day We both ended up having to take an additional day of work We had to pay someone to watch our animals for an additional day We had to pay for a hotel in Sacramento We had to pay for dinner, breakfast, and lunch before we got to fly out the next day (8/13) We had to pay for transportation to the hotel from the airport And we had to pay for an additional day of parking in Kansas City On top of all of this. I have had to call and plead my case (three separate calls) to American Airlines ""Customer Service"" for over two hours on the phone. I have spoken to three different “Customer Service Reps” and 2 different managers. After a week of not hearing from American Airlines I decided to call back. This time I was told that they could not find the complaint that had been filed by Lou and that if I had a formal complaint I would need to file it with the online form (https://www.aa.com/contact/forms?topic=CR#/). This whole ordeal has cost me an insurmountable amount of time and stress at my job to take care of, almost 3 hours I have been on the phone. On top of it all, I had a device (Nintendo switch) that fell out of my laptop bag on the flight home, valued over $400, now lost. I have notified American Airlines of the lost item as well, both in Phoenix and Kansas City, to which both referred me to the online portal to submit for lost items. I will not being flying with American Airlines ever again, and I will be sure that my company, colleagues, and family are informed on how poorly this company treats their customers for when they decide to make future travel arrangements.";NEGATIVE
